month_date,gross_ret,n_cohorts,n_positions,cost,net_ret,bench_ret,value_gross,value_net,value_bench,peak,drawdown,excess
2013-06-30,-0.011711013333333332,6,900,6.666666666666666e-4,-0.012377679999999999,-9.227568953713639e-4,169213.46259839006,165262.67194022544,188843.3732081988,167333.877124431,-0.012377680000000169,-0.011454923104628634
2013-07-31,0.08590589,6,900,6.666666666666666e-4,0.08523922333333334,0.07373727514450867,183749.89570288648,179349.53374240172,202768.1689776689,179349.53374240172,0,0.011501948188824662
2013-08-31,-0.009292993333333333,6,900,6.666666666666666e-4,-0.009959659999999999,-0.022117895496535797,182042.30914711885,177563.27336516883,198283.36380619692,179349.53374240172,-0.009959660000000259,0.012158235496535798
2013-09-30,0.06145619179017334,6,900,6.666666666666666e-4,0.06078952512350667,0.060810137927600226,193229.9362119902,188357.26043241288,210341.0025080003,188357.26043241288,0,-2.0612804093558812e-5
2013-10-31,0.021364991111111113,6,900,6.666666666666666e-4,0.020698324444444447,0.036335281071835805,197358.29208155995,192255.94012030968,217983.8019550602,192255.94012030968,0,-0.015636956627391358
2013-11-30,0.038270686666666665,6,900,6.666666666666666e-4,0.037604019999999995,0.03896338967668746,204911.32943888183,199485.5363377126,226477.18977384103,199485.5363377126,0,-0.0013593696766874622
2013-12-31,0.02349847777777778,6,900,6.666666666666666e-4,0.022831811111111114,0.034197059307254966,209726.43376011628,204040.15242277397,234222.0436642775,204040.15242277397,0,-0.011365248196143853
2014-01-31,-0.005439928888888888,6,900,6.666666666666666e-4,-0.006106595555555555,-0.02095193371104815,208585.536874341,202794.16173483417,229314.6389317573,204040.15242277397,-0.006106595555555594,0.014845338155492594
2014-02-28,0.06094651,6,900,6.666666666666666e-4,0.06027984333333333,0.05615387921348315,221298.0973833084,215018.56203312465,242191.54546821475,215018.56203312465,0,0.004125964119850181
2014-03-31,-0.018194284444444445,6,900,6.666666666666666e-4,-0.01886095111111111,0.004819598083427282,217271.7368525021,210963.10744663648,243358.81137657564,215018.56203312465,-0.01886095111111108,-0.023680549194538394
2014-04-30,-0.036365183333333335,6,900,6.666666666666666e-4,-0.037031850000000005,-0.022231863654002818,209370.6103087091,203150.75329613878,237948.49146305144,215018.56203312465,-0.05519434519870692,-0.014799986345997187
2014-05-31,-0.00450385111111111,6,900,6.666666666666666e-4,-0.0051705177777777766,0.015301154575892857,208427.6362528362,202100.35871465213,241589.3781120281,215018.56203312465,-0.0600794796334021,-0.020471672353670634
2014-06-30,0.06158482020514667,6,900,6.666666666666666e-4,0.06091815353848,0.05482024858968224,221263.61475725085,214411.9393970132,254833.3678767562,215018.56203312465,-0.0028212570597416775,0.006097904948797757
2014-07-31,-0.060211818888888886,6,900,6.666666666666666e-4,-0.060878485555555556,-0.04440709255202629,207940.93005878638,201358.86524149348,243516.95892410856,215018.56203312465,-0.06352798875813725,-0.016471393003529268
2014-08-31,0.052069958888888886,6,900,6.666666666666666e-4,0.051403292222222216,0.05316518672423098,218768.4057382647,211709.37383303707,256463.58351582565,215018.56203312465,-0.015390244306339396,-0.001761894502008761
2014-09-30,-0.058440446666666666,6,900,6.666666666666666e-4,-0.059107113333333336,-0.03925527935656837,205983.48239036594,199195.84388015873,246396.0339001253,215018.56203312465,-0.07358768472523014,-0.019851833976764967
2014-10-31,0.032512931111111115,6,900,6.666666666666666e-4,0.031846264444444446,0.053689264879931,212680.60916335066,205539.4874006005,259624.8558295536,215018.56203312465,-0.04408491314839991,-0.02184300043548655
2014-11-30,-1.9159333333333388e-4,6,900,6.666666666666666e-4,-8.582600000000006e-4,0.015882873157894738,212639.86097650568,205363.0810801441,263748.4444833311,215018.56203312465,-0.04490533683084108,-0.016741133157894737
2014-12-31,0.01842522333333333,6,900,6.666666666666666e-4,0.017758556666666665,0.022350886433843257,216557.79790456675,209010.0329927471,269643.4560130809,215018.56203312465,-0.027944234132920687,-0.004592329767176592
2015-01-31,-0.045443708888888885,6,900,6.666666666666666e-4,-0.046110375555555555,-0.030956050484471052,206716.60837897277,199372.50187657247,261296.35957593267,215018.56203312465,-0.07276609055799488,-0.015154325071084503
2015-02-28,0.08692684222222222,6,900,6.666666666666666e-4,0.08626017555555555,0.07564804804646251,224685.83038024462,216570.40888939594,281062.9191394986,216570.40888939594,0,0.010612127509093044
2015-03-31,0.0019956804356666656,6,900,6.666666666666666e-4,0.001329013768999999,0.012912196160651595,225134.231496106,216858.23394476794,284692.05868491315,216858.23394476794,0,-0.011583182391651596
2015-04-30,0.00584871,6,900,6.666666666666666e-4,0.005182043333333333,-0.0053559442082890445,226450.9763271996,217982.0027102599,283167.2639020538,217982.0027102599,0,0.010537987541622378
2015-05-31,0.011899295555555557,6,900,6.666666666666666e-4,0.011232628888888891,0.02465460667019587,229145.58342336104,220430.513651161,290148.6414154345,220430.513651161,0,-0.013421977781306979
2015-06-30,-0.015950793333333334,6,900,6.666666666666666e-4,-0.01661746,0.004016107429034998,225490.52957892892,216767.5184077834,291313.90952974744,220430.513651161,-0.01661745999999975,-0.020633567429035
2015-07-31,-0.034273980719697776,6,900,6.666666666666666e-4,-0.034940647386364446,-0.0019372023708571415,217762.07151566626,209193.52098227976,290749.5755335427,220430.513651161,-0.050977482576047395,-0.0330034450155073
2015-08-31,-0.04713051,6,900,6.666666666666666e-4,-0.04779717666666667,-0.05359428836962295,207498.8340264764,199194.66130236766,275167.0589390526,220430.513651161,-0.0963380795020049,0.005797111702956277
2015-09-30,-0.05676776069743889,6,900,6.666666666666666e-4,-0.05743442736410556,-0.045163003853811896,195719.5898714638,187754.02999647922,262739.68799574603,220430.513651161,-0.14823938443655515,-0.012271423510293665
2015-10-31,0.07872411666666666,6,900,6.666666666666666e-4,0.07805745,0.06768147667020148,211127.44169845706,202409.6308052279,280522.2980591661,220430.513651161,-0.08175312277524227,0.010375973329798518
2015-11-30,0.005219576666666668,6,900,6.666666666666666e-4,0.004552910000000001,0.0333340147679325,212229.43756683936,203331.18363741733,289873.2324854047,220430.513651161,-0.07757242738545689,-0.028781104767932497
2015-12-31,-0.05857297555555555,6,900,6.666666666666666e-4,-0.05923964222222222,-0.0377837656004195,199798.5279080676,191285.91706611577,278920.73021534027,220430.513651161,-0.1322167067630553,-0.02145587662180272
2016-01-31,-0.11559081811207111,6,900,6.666666666666666e-4,-0.11625748477873778,-0.079900764827426,176703.6526095866,169047.4974744149,256634.75054491044,220430.513651161,-0.2331030097677924,-0.036356719951311775
2016-02-29,0.005613324444444447,6,900,6.666666666666666e-4,0.00494665777777778,0.014836801771871546,177695.54754220264,169883.71759261057,260442.389466519,220430.513651161,-0.229309432806306,-0.009890143994093766
2016-03-31,0.09905636280646445,6,900,6.666666666666666e-4,0.09838969613979778,0.09096265628096473,195297.42216863637,186598.52494564676,284132.92102055514,220430.513651161,-0.15348142208230997,0.007427039858833057
2016-04-30,0.029769278678638888,6,900,6.666666666666666e-4,0.029102612011972222,0.027468030979866664,201111.28555439433,192029.02941914622,291937.4928975478,220430.513651161,-0.12884552034824504,0.0016345810321055573
2016-05-31,0.014666901111111111,6,900,6.666666666666666e-4,0.014000234444444445,0.024856354516607518,204060.9648919491,194717.48085115344,299193.99471769884,220430.513651161,-0.1166491533957923,-0.010856120072163073
2016-06-30,-0.01197235,6,900,6.666666666666666e-4,-0.012639016666666666,-0.0025655965654369844,201617.87559892496,192256.44336538436,298426.3836324517,220430.513651161,-0.12781383946853697,-0.01007342010122968
