form_date,gross_ret,n_held,med_mktcap,turnover,cost,net_ret,bench_ret,value_gross,value_net,value_bench,peak,drawdown,excess
2013-05-31,-0.023707559999999996,25,1211.7671900000003,0.19999999999999996,7.999999999999998e-4,-0.024507559999999994,-0.004434724219758074,4337.449318688638,4053.3764220591215,4442.0459159192,4155.210492517114,-0.024507559999999984,-0.02007283578024192
2013-06-30,0.09900528,25,1081.93809,0.16000000000000003,6.400000000000002e-4,0.09836528,0.06837873776223777,4766.879702971217,4452.087928760365,4745.787408731659,4452.087928760365,0,0.02998654223776223
2013-07-31,0.059286559999999995,25,1300.6906,0.36,0.0014399999999999999,0.05784656,-0.026537168973471737,5049.491602494203,4709.625900256677,4619.847646353972,4709.625900256677,0,0.08438372897347174
2013-08-31,0.07477959999999999,25,1419.024,0.31999999999999995,0.0012799999999999997,0.07349959999999998,0.05728178283870473,5427.090564732079,5055.781520075182,4884.480755980321,5055.781520075182,0,0.016217817161295257
2013-09-30,-0.036183120000000006,25,1781.1201600000002,0.28,0.0011200000000000001,-0.03730312000000001,0.03041372711571675,5230.721495577511,4867.185095338035,5033.036020794677,5055.781520075182,-0.03730311999999991,-0.06771684711571677
2013-10-31,0.02928532,25,1513.7438399999999,0.36,0.0014399999999999999,0.02784532,0.0339958361774744,5383.904848406377,5002.713421816953,5204.13828883294,5055.781520075182,-0.010496517313398401,-0.006150516177474398
2013-11-30,0.02744336,25,1280.7789800000003,0.31999999999999995,0.0012799999999999997,0.02616336,0.028883509319770975,5531.6572873669375,5133.601214048782,5354.452065599824,5133.601214048782,0,-0.002720149319770975
2013-12-31,0.026767760000000005,25,1190.105,0.4,0.0016,0.025167760000000004,-0.027851619670267194,5679.727362037428,5262.802457339671,5205.321903126061,5262.802457339671,0,0.053019379670267194
2014-01-31,0.10622176,25,1255.0300799999998,0.52,0.0020800000000000003,0.10414176,0.050772179298642535,6283.037998753201,5810.879967779349,5469.607440098729,5810.879967779349,0,0.053369580701357465
2014-02-28,-0.08006752,25,2585.2616000000003,0.31999999999999995,0.0012799999999999997,-0.08134752,-0.0017406479505895545,5779.970728127269,5338.179293382818,5460.086779117592,5810.879967779349,-0.08134752000000012,-0.07960687204941046
