n_side,min_cap,hold_mo,cost_bps,sector_neutral,n_months,ann_ret,ann_vol,sharpe,capm_a,capm_t,beta,ff6_a,ff6_t
150,500,6,20,FALSE,175,0.11944558335489175,0.2334542284418536,0.5509045669138407,-0.060912148217442806,-1.9268054234044574,1.3580381553613163,-0.00370674370404168,-0.23086602552381458
150,500,6,50,FALSE,175,0.10618013477137489,0.2334542284418536,0.4995026279552202,-0.07291214821744277,-2.306395796712491,1.3580381553613163,-0.015706743704041667,-0.978258488419226
150,500,12,20,FALSE,169,0.09740134016103763,0.2286121371390909,0.4682244058836129,-0.0639910279684983,-1.9967590405396427,1.3341708624054327,-0.008214586540349691,-0.5151856678457963
150,500,12,50,FALSE,169,0.09087132212193638,0.2286121371390909,0.4419790801756891,-0.06999102796849827,-2.183981446923482,1.3341708624054327,-0.014214586540349673,-0.8914814183246974
150,2000,1,20,FALSE,180,0.07703327554765571,0.20817110053806662,0.40642699827356366,-0.08434074546783131,-3.641432339017741,1.2561745389126244,-0.049043719857661816,-3.2578667398364485
150,2000,1,50,FALSE,180,0.0023095487323336883,0.20817110053806662,0.06055766379870495,-0.15634074546783128,-6.75004997044806,1.2561745389126244,-0.1210437198576618,-8.040668818247296
150,2000,3,20,FALSE,178,0.1047278093983004,0.20903347133212188,0.5270585470854491,-0.053055623758245324,-2.279855511126795,1.2607252129757467,-0.016185927363239434,-1.0797041188297336
150,2000,3,50,FALSE,178,0.07867094594537116,0.20903347133212188,0.41224439867632806,-0.07705562375824526,-3.3111605527255104,1.2607252129757467,-0.04018592736323936,-2.6806564937159227
150,2000,6,20,FALSE,175,0.12403730269496793,0.20558765191982722,0.6163675776366186,-0.04853670267832315,-2.1079934535836036,1.2557937178461491,-0.010757522351850051,-0.7471915821729626
150,2000,6,50,FALSE,175,0.11072868611889364,0.20558765191982725,0.5579983132963671,-0.0605367026783233,-2.6291644447539806,1.2557937178461491,-0.02275752235185024,-1.5806826680207828
150,2000,12,20,FALSE,169,0.11256292744968599,0.2005477723492347,0.5730764090751389,-0.043718997476158795,-1.9156556112152292,1.237562539448826,-0.006704322312046901,-0.4863757919934027
150,2000,12,50,FALSE,169,0.10595355247818006,0.2005477723492347,0.5431583505012867,-0.04971899747615863,-2.178560397025082,1.2375625394488259,-0.012704322312046748,-0.9216553946337129
300,100,1,20,FALSE,180,0.08448753170463164,0.22012739693634434,0.42732138094999017,-0.08106243368646451,-3.0256163188623506,1.3021283106738597,-0.03757258927276496,-3.071081927758032
300,100,1,50,FALSE,180,0.009272945868739502,0.22012739693634434,0.10023806010001587,-0.15306243368646433,-5.712981662477287,1.3021283106738593,-0.10957258927276481,-8.956167387089373
300,100,3,20,FALSE,178,0.1016410781867374,0.21954240608727416,0.4995116949774084,-0.05843398682296621,-2.1876877789186313,1.2983355699406804,-0.013452660628784177,-1.1009476963770777
300,100,3,50,FALSE,178,0.07564577161933639,0.2195424060872741,0.3901934068720147,-0.0824339868229661,-3.0862146388625966,1.2983355699406807,-0.03745266062878409,-3.0650754954916977
300,100,6,20,FALSE,175,0.121226488870809,0.21623935315654919,0.5850996500424305,-0.053434256900737304,-1.9819059258832026,1.289483002598281,-0.0066847648742000545,-0.5692964734033457
300,100,6,50,FALSE,175,0.10794564519712924,0.21623935315654919,0.5296055883703519,-0.06543425690073745,-2.4269925143386053,1.2894830025982809,-0.01868476487420021,-1.5912557807840328
300,100,12,20,FALSE,169,0.10439144048705695,0.21257844047092575,0.5178336635359395,-0.05339693232190816,-1.9549101451583162,1.2752320646769597,-0.007146957043425422,-0.6214519984571355
300,100,12,50,FALSE,169,0.097825068929426,0.21257844047092575,0.48960878811250463,-0.059396932321908215,-2.1745755896119023,1.27523206467696,-0.01314695704342551,-1.1431722170182583
300,500,1,20,FALSE,180,0.08246840766136576,0.21901903396449385,0.4200200757833614,-0.08226650015425953,-3.0874690791460173,1.2956693620354762,-0.03879401124826494,-3.2372954594889634
300,500,1,50,FALSE,180,0.007383543243363322,0.21901903396449385,0.09128152417568601,-0.1542665001542595,-5.789635492955749,1.2956693620354764,-0.1107940112482649,-9.245575232146656
300,500,3,20,FALSE,178,0.10080728818117834,0.21918074107383334,0.496552883261256,-0.05907365762336418,-2.220040029653157,1.29687193471695,-0.014066367125828913,-1.1592208808777826
300,500,3,50,FALSE,178,0.074830153328314,0.21918074107383334,0.38705421160599696,-0.0830736576233641,-3.1219811461382556,1.29687193471695,-0.03806636712582884,-3.1370806148229256
300,500,6,20,FALSE,175,0.12113434429893832,0.21578838704806974,0.5855369999308789,-0.053405554528408006,-1.9927873618933232,1.2880628798799527,-0.006721668389023329,-0.5787809225775683
300,500,6,50,FALSE,175,0.10785458788465019,0.21578838704806974,0.529926963801702,-0.06540555452840817,-2.440558170639442,1.288062879879953,-0.018721668389023494,-1.6120617494438416
300,500,12,20,FALSE,169,0.1048404627384063,0.21223528993445231,0.5202968958659734,-0.05297508542958189,-1.950936568642204,1.2746333087723856,-0.006921909037222999,-0.6085888598773782
300,500,12,50,FALSE,169,0.0982716754125812,0.21223528993445231,0.4920263853309296,-0.05897508542958187,-2.1719011846863463,1.2746333087723856,-0.01292190903722298,-1.1361215303629202
300,2000,1,20,FALSE,180,0.07614741252904511,0.19311044940102587,0.4183448408203051,-0.07855178543951064,-3.982181382215371,1.1847319246672974,-0.05139691056076892,-4.27544330150494
